show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
80187223;TV Show;PJ Masks                                                                       ;;Jacob Ewaniuk, Kyle Breitkopf, Addison Holley                                                                                                                                                                                                        ;France, United Kingdom                             ;October 1, 2017   ;2016;TV-Y    ;1 Season;Kids' TV                                                         ;Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.                        
80187302;TV Show;Stranger                                                                       ;;Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin                                                                                                                                                               ;South Korea                                        ;November 1, 2017  ;2017;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, Korean TV Shows          ;With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.          
80187306;Movie  ;RUSSELL BRAND: RE:BIRTH                                                        ;Chris Howe                                                                                            ;Russell Brand                                                                                                                                                                                                                                        ;;December 4, 2018  ;2018;TV-MA   ;63 min  ;Stand-Up Comedy                                                  ;Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.     
80187722;TV Show;FIGHTWORLD                                                                     ;Padraic McKinley                                                                                      ;Frank Grillo                                                                                                                                                                                                                                         ;;October 12, 2018  ;2018;TV-MA   ;1 Season;Docuseries                                                       ;Actor and fight enthusiast Frank Grillo travels the world, immersing himself in different fight cultures to understand their traditions and motivations.   
80188051;TV Show;Larry Charles' Dangerous World of Comedy                                       ;;Larry Charles                                                                                                                                                                                                                                        ;;February 15, 2019 ;2019;TV-MA   ;1 Season;Docuseries, TV Comedies                                          ;Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places.              
80188351;TV Show;Reply 1988                                                                     ;;Lee Hye-ri, Park Bo-gum, Ryu Jun-yeol, Ko Kyoung-pyo, Lee Dong-hwi, Ryu Hye-young, Sung Dong-il, Lee Il-hwa                                                                                                                                          ;;January 1, 2020   ;2015;TV-14   ;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows       ;Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.       
80188605;TV Show;Cinderella and the Four Knights                                                ;;Jung Il-woo, Ahn Jae-hyeon, Park So-dam, Lee Jung-shin, Kim Yong-geon, Choi Min, Son Na-eun                                                                                                                                                          ;;December 15, 2019 ;2016;TV-14   ;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows       ;Catching the eye of a wealthy gentleman, spunky Ha-won gets hired to live with his three immature grandsons so she can whip them into shape.               
80188730;TV Show;The K2                                                                         ;;Ji Chang-wook, Song Yoon-a, Lim Yoona, Cho Seong-ha, Kim Kap-soo, Lee Jung-jin, Son Tae-young, Shin Dong-mi                                                                                                                                          ;South Korea                                        ;October 1, 2019   ;2016;TV-14   ;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows       ;A fugitive soldier gets swept up in personal and political intrigue when he's hired as a bodyguard for the family of a presidential candidate.             
80188823;Movie  ;Iron Fists and Kung-Fu Kicks                                                   ;Serge Ou                                                                                              ;;Australia                                          ;December 1, 2019  ;2019;TV-MA   ;108 min ;Documentaries, International Movies                              ;This documentary examines the influence of Hong Kong's martial arts cinema on filmmaking from the Shaw Brothers to modern-day Hollywood blockbusters.      
80188935;TV Show;A Thousand Goodnights                                                          ;;Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li                                                                                                                                                                       ;Taiwan                                             ;June 1, 2019      ;2019;TV-14   ;1 Season;International TV Shows, TV Dramas                                ;To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.             
80188953;TV Show;Afflicted                                                                      ;;;United States                                      ;August 10, 2018   ;2018;TV-MA   ;1 Season;Docuseries, Reality TV                                           ;Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.                      
80188969;TV Show;A Boy Name Flora A                                                             ;;Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang                                                                                                                                                          ;Taiwan                                             ;September 1, 2017 ;2017;TV-MA   ;1 Season;International TV Shows, TV Comedies, TV Dramas                   ;A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.   
80189155;TV Show;A House of Blocks                                                              ;;Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting                                                                                                                                              ;;September 1, 2017 ;2017;TV-MA   ;1 Season;International TV Shows, TV Dramas, TV Horror                     ;Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.       
80189183;TV Show;Mobile Suit Gundam UC                                                          ;;Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara                                                                                                       ;Japan                                              ;September 20, 2018;2014;TV-14   ;1 Season;Anime Series, International TV Shows                             ;When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.       
80189208;TV Show;All About Love                                                                 ;;Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu                                                                                                                                                                                 ;Taiwan                                             ;September 1, 2017 ;2017;TV-14   ;1 Season;International TV Shows, TV Dramas, TV Horror                     ;Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.               
80189209;TV Show;What She Put on the Table                                                      ;;Amber An, Sun Ke-fang, Chang Yao-jen, Wang Man-chiao, Hans Chung, Chris Lee, Yan Yu-lin, Kiki Chen, Steven Chiang                                                                                                                                    ;Taiwan                                             ;October 1, 2017   ;2017;TV-PG   ;1 Season;International TV Shows, TV Dramas                                ;Based on the life of TV chef Fu Pei-mei, this drama follows two women – one rich, the other poor – who fortuitously cross paths in 1950s Taiwan.       
80189221;TV Show;The Haunting of Hill House                                                     ;;Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw                                    ;United States                                      ;October 12, 2018  ;2018;TV-MA   ;1 Season;TV Dramas, TV Horror, TV Mysteries                               ;Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.     
80189451;TV Show;Inside the Mind of a Serial Killer                                             ;;;United States                                      ;July 1, 2019      ;2015;TV-14   ;1 Season;Crime TV Shows, Docuseries                                       ;Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers.           
80189522;TV Show;Dogs of Berlin                                                                 ;;Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler                                 ;Germany                                            ;December 7, 2018  ;2018;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, TV Dramas                ;Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.    
80189586;TV Show;If I were an Animal                                                            ;;Zachary Young, Fleur Delahunty                                                                                                                                                                                                                       ;;September 11, 2018;2018;TV-Y    ;1 Season;Docuseries, Kids' TV, Science & Nature TV                        ;Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood.       
80189619;TV Show;A Taiwanese Tale of Two Cities                                                 ;;Tammy Chen, James Wen, Peggy Tseng, Denny Huang                                                                                                                                                                                                      ;;January 27, 2019  ;2018;TV-MA   ;1 Season;International TV Shows, TV Dramas                                ;A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.     
80189623;Movie  ;The Death and Life of Marsha P. Johnson                                        ;David France                                                                                          ;;United States                                      ;October 6, 2017   ;2017;TV-MA   ;106 min ;Documentaries, LGBTQ Movies                                      ;As she fights the tide of violence against trans women, activist Victoria Cruz probes the suspicious 1992 death of her friend Marsha P. Johnson.           
80189632;TV Show;Charlie's Colorforms City                                                      ;;Jacob Soley, Saara Chaudry, Tyler Barish, Zoe Hatz, Julie Lemieux, Joseph Motiki, Shoshana Sperling, Adrianna Di Liello, Deann Degruijter, Stacey DePass                                                                                             ;United States                                      ;March 22, 2019    ;2019;TV-Y    ;1 Season;Kids' TV                                                         ;Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West – and right at home.   
80189648;TV Show;Hyperdrive                                                                     ;;Rutledge Wood, Mike Hill, Michael Bisping, Lindsay Czarniak                                                                                                                                                                                          ;United States                                      ;August 21, 2019   ;2019;TV-PG   ;1 Season;Reality TV                                                       ;Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built.     
80189656;TV Show;Paprika                                                                        ;;Kaycie Chase, David Gasman, Tom Morton, Lee Delong, Barbara Weber-Scaff                                                                                                                                                                              ;;January 31, 2019  ;2018;TV-Y    ;1 Season;Kids' TV                                                         ;Stan and Olivia – the amazingly different Paprika twins – use their boundless enthusiasm to turn everyday life into an extraordinary adventure.        
80189685;TV Show;The Witcher                                                                    ;;Henry Cavill, Anya Chalotra, Freya Allan, Jodhi May, MyAnna Buring, Joey Batey, Eamon Farren, Mimi Ndiweni, Björn Hlynur Haraldsson, Adam Levy, Lars Mikkelsen, Royce Pierreson, Wilson Radjou-Pujalte, Anna Shaffer                                ;Poland, United States                              ;December 20, 2019 ;2019;TV-MA   ;1 Season;TV Action & Adventure, TV Dramas, TV Mysteries                   ;Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.     
80189791;TV Show;Dark Tourist                                                                   ;;;New Zealand                                        ;July 20, 2018     ;2018;TV-MA   ;1 Season;Docuseries, International TV Shows                               ;From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.                 
80189829;TV Show;The Protector                                                                  ;;Çağatay Ulusoy, Ayça Ayşin Turan, Hazar Ergüçlü, Okan Yalabık, Mehmet Kurtuluş, Yurdaer Okur                                                                                                                                                ;Turkey                                             ; April 26, 2019   ;2019;TV-MA   ;2 Season;International TV Shows, Romantic TV Shows, TV Action & Adventure ;Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.          
80189898;TV Show;Osmosis                                                                        ;;Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoël Dupont, Stéphane Pitti, Luna Silva, Yuming Hey, Suzanne Rault-Balet, Philypa Phoenix, Lena Lapres, Waly Dia, Aurélia Petit, Lionel Lingelser, Fabien Ducommun                               ;France                                             ;March 29, 2019    ;2019;TV-MA   ;1 Season;International TV Shows, TV Dramas, TV Mysteries                  ;In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.      
80190009;TV Show;Fastest Car                                                                    ;;;United States                                      ; September 20, 201;2019;TV-MA   ;2 Season;Reality TV                                                       ;The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.              
80190086;TV Show;The Hook Up Plan                                                               ;;Marc Ruchmann, Zita Hanrot, Sabrina Ouazani, Joséphine Drai, Syrus Shahidi, Yvan Naubron, Guillaume Labbé, Tom Dingler                                                                                                                             ;France                                             ; October 11, 2019 ;2019;TV-14   ;2 Season;International TV Shows, Romantic TV Shows, TV Comedies           ;When Parisian Elsa gets hung up on her ex, her best friends secretly hire a male escort to help her move on. But their plan works a little too well.       
80190097;TV Show;November 13: Attack on Paris                                                   ;;;France                                             ;June 1, 2018      ;2018;TV-MA   ;1 Season;Docuseries, International TV Shows                               ;Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015.       
80190144;Movie  ;The House on Coco Road                                                         ;Damani Baker                                                                                          ;;United States                                      ;June 30, 2017     ;2016;TV-14   ;79 min  ;Documentaries                                                    ;This film chronicles the journey of Fannie Haughton, an Oakland activist who fled to Grenada with her family just prior to the U.S. invasion in 1983.      
80190279;TV Show;The Indian Detective                                                           ;;Russell Peters, Anupam Kher, Christina Cole, Mishqah Parthiephal, Hamza Haq, Meren Reddy, William Shatner                                                                                                                                            ;Canada, Germany, South Africa                      ;December 19, 2017 ;2017;TV-14   ;1 Season;Crime TV Shows, International TV Shows, TV Comedies              ;In this crime dramedy, a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home.     
80190407;TV Show;Murderous Affairs                                                              ;;;United States                                      ; April 17, 2018   ;2017;TV-14   ;3 Season;Crime TV Shows, Docuseries                                       ;Mixing interviews with dramatic re-enactments, this series focuses on lethal love affairs and spouses driven to murder.                                    
80190510;TV Show;Magic for Humans                                                               ;;Justin Willman                                                                                                                                                                                                                                       ;United States                                      ;August 17, 2018   ;2018;TV-14   ;1 Season;Reality TV, TV Comedies                                          ;From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.                       
80190518;TV Show;Sudden                                                                         ;;Rui En, Romeo Tan, Rebecca Lim, Zhang Zhenhuan                                                                                                                                                                                                       ;;October 1, 2017   ;2013;TV-14   ;1 Season;International TV Shows, Romantic TV Shows, TV Dramas             ;A car accident sends four lawyers spiraling in different directions as they scramble to rebuild their shattered lives.                                     
80190519;TV Show;Giri / Haji                                                                    ;;Takehiro Hira, Kelly Macdonald, Yosuke Kubozuka, Will Sharpe, Aoi Okuyama, Masahiro Motoki, Yuko Nakamura, Mitsuko Oka, Anna Sawai, Charlie Creed-Miles                                                                                              ;United Kingdom                                     ;January 10, 2020  ;2019;TV-MA   ;1 Season;British TV Shows, Crime TV Shows, International TV Shows         ;Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find.        
80190535;Movie  ;The Edge of Democracy                                                          ;Petra Costa                                                                                           ;;Brazil                                             ;June 19, 2019     ;2019;TV-14   ;122 min ;Documentaries, International Movies                              ;Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.          
80190585;Movie  ;Blurred Lines: Inside the Art World                                            ;Barry Avrich                                                                                          ;;Canada                                             ;December 31, 2017 ;2017;TV-MA   ;85 min  ;Documentaries                                                    ;Artists and industry insiders shed light on the commercial forces behind the veneer of genius and glamour that often shrouds contemporary art.             
80190840;Movie  ;A Gray State                                                                   ;Erik Nelson                                                                                           ;;United States                                      ;December 25, 2017 ;2017;TV-MA   ;93 min  ;Documentaries                                                    ;This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.      
80190843;TV Show;First and Last                                                                 ;;;;September 7, 2018 ;2018;TV-MA   ;1 Season;Docuseries                                                       ;Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.             
80190844;Movie  ;AlphaGo                                                                        ;Greg Kohs                                                                                             ;;United States                                      ;January 1, 2018   ;2017;TV-G    ;90 min  ;Documentaries                                                    ;"Seemingly simple but deceptively complex, the game of ""Go"" serves as the backdrop for this battle between artificial intelligence and man.                 "
80191000;TV Show;The Most Beautiful Hands of Delhi                                              ;;Björn Kjellman, Joy Sengupta, Natasha Jayetileke                                                                                                                                                                                                    ;Sweden                                             ;July 20, 2017     ;2017;TV-MA   ;1 Season;International TV Shows, TV Comedies, TV Dramas                   ;A stalled career, failed marriage and receding hairline drive a middle-aged Swedish man to try to revitalize his life by visiting India.                   
80191036;TV Show;Dogs                                                                           ;;;United States                                      ;November 16, 2018 ;2018;TV-PG   ;1 Season;Docuseries                                                       ;These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.                   
80191044;Movie  ;ReMastered: Who Killed Jam Master Jay?                                         ;Brian Oakes                                                                                           ;;;December 7, 2018  ;2018;TV-MA   ;59 min  ;Documentaries, Music & Musicals                                  ;Run-DMC DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.        
80191046;Movie  ;ReMastered: The Miami Showband Massacre                                        ;Stuart Sender                                                                                         ;;;March 22, 2019    ;2019;TV-MA   ;71 min  ;Documentaries, Music & Musicals                                  ;The killing of three members of the Miami Showband sent shock waves across Ireland in 1975. Now one survivor doggedly pursues the truth.                   
80191047;Movie  ;ReMastered: Who Shot the Sheriff                                               ;Kief Davidson                                                                                         ;;United States                                      ;October 12, 2018  ;2018;TV-14   ;57 min  ;Documentaries, Music & Musicals                                  ;In 1976, reggae icon Bob Marley survived an assassination attempt as rival political groups battled in Jamaica. But who exactly was responsible?           
80191048;Movie  ;ReMastered: Massacre at the Stadium                                            ;Bent-Jorgen Perlmutt                                                                                  ;;;January 11, 2019  ;2019;TV-MA   ;65 min  ;Documentaries, Music & Musicals                                  ;The shocking murder of singer Victor Jara in 1973 turned him into a powerful symbol of Chile's struggle. Decades later, a quest for justice unfolds.       
80191049;Movie  ;ReMastered: Devil at the Crossroads                                            ;Brian Oakes                                                                                           ;;United States                                      ;April 26, 2019    ;2019;TV-14   ;49 min  ;Documentaries, Music & Musicals                                  ;Cloaked in mystery, bluesman Robert Johnson left his mark on American music. Now family, critics and famous fans look for the real man behind the music.   
80191050;Movie  ;ReMastered: The Lion's Share                                                   ;Sam Cullman                                                                                           ;;;May 17, 2019      ;2019;TV-14   ;84 min  ;Documentaries, Music & Musicals                                  ;"After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation.         "
80191051;Movie  ;ReMastered: Tricky Dick & The Man in Black                                     ;Sara Dosa                                                                                             ;;United States                                      ;November 2, 2018  ;2018;TV-MA   ;59 min  ;Documentaries, Music & Musicals                                  ;This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies.               
80191074;TV Show;Death by Magic                                                                 ;;Drummond Money-Coutts                                                                                                                                                                                                                                ;United States                                      ;November 30, 2018 ;2018;TV-14   ;1 Season;Reality TV                                                       ;Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.      
80191075;TV Show;Equestria Girls: Tales of Canterlot High                                       ;;Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Rebecca Shoichet, Andrew Toth, Ali Liebert                                                                                                                           ;United States, Canada                              ;October 1, 2017   ;2017;TV-Y    ;1 Season;Kids' TV, TV Comedies                                            ;In an alternate universe Equestria, the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High.          
80191081;Movie  ;DreamWorks Home: For the Holidays                                              ;;Rachel Crow, Mark Whitten, Kelly Clarkson, Ana Ortiz, Ben Schwartz, Ron Funches, Matt Jones                                                                                                                                                          ;United States                                      ;December 1, 2017  ;2017;TV-Y7   ;46 min  ;Children & Family Movies, Comedies, Music & Musicals             ;Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city.                 
80191236;TV Show;Luis Miguel - The Series                                                       ;;Diego Boneta, Juan Pablo Zurita, Camila Sodi, Óscar Jaenada, Izan Llunas, Paulina Dávila, Martín Bello, Anna Favella, César Bordón, Vanessa Bauche                                                                                              ;Mexico                                             ;July 12, 2019     ;2018;TV-MA   ;1 Season;International TV Shows, Spanish-Language TV Shows, TV Dramas     ;This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.       
80191239;TV Show;Tidelands                                                                      ;;Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden                                                                       ;Australia                                          ;December 14, 2018 ;2018;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, TV Dramas                ;Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.     
80191369;TV Show;LOST SONG                                                                      ;;Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito                                                                       ;Japan                                              ;October 5, 2018   ;2018;TV-14   ;1 Season;Anime Series, International TV Shows                             ;War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song.                                          
80191522;TV Show;Paradise PD                                                                    ;;Tom Kenny, David Herman, Sarah Chalke, Kyle Kinane, Dana Snyder, Cedric Yarbrough, Grey Griffin, John DiMaggio, Roger Black, Waco O'Guin                                                                                                             ;United States                                      ;August 31, 2018   ;2018;TV-MA   ;1 Season;TV Comedies                                                      ;An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.        
80191680;TV Show;White Gold                                                                     ;;Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross                                                                                                                                    ;United Kingdom                                     ; May 17, 2019     ;2019;TV-MA   ;2 Season;British TV Shows, International TV Shows, TV Comedies            ;In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window.      
80191975;TV Show;Reggie Yates Outside Man                                                       ;;Reggie Yates                                                                                                                                                                                                                                         ;United Kingdom                                     ; December 15, 2017;2017;TV-MA   ;2 Season;British TV Shows, Docuseries, International TV Shows             ;Award-winning filmmaker Reggie Yates travels around the world tackling big issues such as gun violence, racism, gay rights and addiction.                  
80192098;TV Show;La casa de papel                                                               ;;Úrsula Corberó, Itziar Ituño, �?lvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver                                                           ;Spain                                              ; July 19, 2019    ;2019;TV-MA   ;3 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.          
80192136;Movie  ;Alejandro Riaño: Especial de stand up                                         ;;Alejandro Riaño                                                                                                                                                                                                                                     ;Colombia                                           ;January 10, 2018  ;2018;TV-MA   ;60 min  ;Stand-Up Comedy                                                  ;Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers.     
80192445;Movie  ;Heroin(e)                                                                      ;Elaine McMillion Sheldon                                                                              ;;United States                                      ;September 12, 2017;2017;TV-14   ;40 min  ;Documentaries                                                    ;This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic.     
80192577;TV Show;Champions                                                                      ;;Anders Holm, Fortune Feimster, Andy Favreau, J.J. Totah, Mouzam Makkar, Yassir Lester, Robert Costanzo, Ginger Gonzaga, Mindy Kaling                                                                                                                 ;United States                                      ;March 8, 2019     ;2018;TV-14   ;1 Season;TV Comedies                                                      ;Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time.    
80192627;Movie  ;Empire of Scents                                                               ;Kim Nguyen                                                                                            ;;Canada, France, Italy, Morocco, United States      ;January 1, 2018   ;2014;TV-14   ;87 min  ;Documentaries, International Movies                              ;This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.                      
80192734;TV Show;Barbie Dreamhouse Adventures                                                   ;;America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Ritesh Rajan                                                                                                                                                                            ;United States                                      ; February 14, 2019;2018;TV-Y    ;3 Season;Kids' TV                                                         ;Get to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family's new dreamhouse.    
80192834;Movie  ;Reversing Roe                                                                  ;;Ricki Stern, Annie Sundberg                                                                                                                                                                                                                          ;United States                                      ;September 13, 2018;2018;TV-14   ;100 min ;Documentaries                                                    ;Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.    
80192950;TV Show;The Real Football Factories                                                    ;;Danny Dyer                                                                                                                                                                                                                                           ;United Kingdom                                     ;December 29, 2017 ;2006;TV-MA   ;1 Season;British TV Shows, Docuseries, International TV Shows             ;Examine the troubling history of football hooliganism and hear from real hooligans about their bitter rivalries and rowdiest brawls.                       
80193475;TV Show;A Little Help with Carol Burnett                                               ;;Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen                                                            ;United States                                      ;May 4, 2018       ;2018;TV-G    ;1 Season;Stand-Up Comedy & Talk Shows, TV Comedies                        ;Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.        
80193978;TV Show;Warrior                                                                        ;;Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro                                                                                                                                                                    ;Denmark                                            ;November 13, 2018 ;2018;TV-MA   ;1 Season;Crime TV Shows, International TV Shows, TV Dramas                ;A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.               
80194184;TV Show;Dino Hunt                                                                      ;;;Canada                                             ;August 4, 2017    ;2016;TV-G    ;1 Season;Docuseries, Science & Nature TV                                  ;Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.                            
80194367;TV Show;Paranormal Survivor                                                            ;;;Canada                                             ; August 4, 2017   ;2016;TV-14   ;2 Season;Docuseries                                                       ;In interviews and reenactments, ordinary people relive their terrifying encounters with unwelcome guests from beyond the world of the living.              
80194558;TV Show;Selection Day                                                                  ;;Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi                                                                                                                          ;India                                              ;December 28, 2018 ;2018;TV-14   ;1 Season;International TV Shows, TV Dramas, Teen TV Shows                 ;Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.      
80194704;TV Show;Car Masters: Rust to Riches                                                    ;;"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle                                                                                                                                                                         ";;September 14, 2018;2018;TV-PG   ;1 Season;Reality TV                                                       ;The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.           
80194813;TV Show;We Speak Dance                                                                 ;;Vandana Hart                                                                                                                                                                                                                                         ;United States                                      ;January 1, 2018   ;2018;TV-14   ;1 Season;Docuseries                                                       ;Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.                       
80194956;TV Show;The Disappearance of Madeleine McCann                                          ;;;;March 15, 2019    ;2019;TV-14   ;1 Season;Crime TV Shows, Docuseries                                       ;The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family.                  
