"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Estabelecimento Hoteleiro - Hotel-apartamento";"9227";"Aldeia da Fonte";"Aldeia da Fonte, Lda";"****";"Por reconverter";"64";"32";"0";"Caminho de Baixo, Silveira";"9930-177";"Lajes do Pico";"Lajes do Pico";"Ilha do Pico";"292679500";;"sandrapereira@aldeiadafonte.com";"www.aldeiadafonte.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Aldeia da Fonte";;"1993";"Sim";"Não"
"Estabelecimento Hoteleiro - Pousada";"9225";"Pousada De Angra; Forte de S. Sebastião";"Pousadas de Portugal";;"Por reconverter";"58";"29";"1";"Rua do Castelinho s/n";"9700-045";"Angra do Heroísmo";"Angra do Heroísmo";"Ilha Terceira";"295403560";;"reservas.pousadasaosebastiao@pousadas.pt";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Sim";"Nacional";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Rodrigo Hintze soc. unipessoal Lda";;"2006";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9224";"Parque de Campismo Barragem Monte da Rocha";;"***";"Classificado em auditoria";"500";"0";"0";"Parque Campismo Barragem Monte da Rocha, Lugar Chada Nova";"7670-401";"Panoias Orq";"Ourique";"Beja";"962978109";;"geranature@geranature.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"GRUPO GERANATURE LDA";;"2014";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9222";"Hotel Columbano";"Residencial Columbano, Lda";"**";"Classificado em projeto";"81";"55";"1";"Avenida Sacadura Cabral";"5050-071";"Godim";"Peso da Régua";"Vila Real";"254320710";"254320719";"contabilidade@hotelcolumbano.com";"www.hotelcolumbano.com";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Hotel Columbano, Lda (Residencial Columbano, Lda)";;"1978";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9217";"Longevity Health & Wellness Hotel";"Longevity Health & Wellness Hotel";"*****";"Classificado em auditoria";"138";"70";"3";"Cruz da Bota, Lote 27, Alvor";"8500-332";"Portimão";"Portimão";"Faro";"282248870";;"reservations@longevityalvor.com";"https://www.longevityalvor.com/pt/";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Sim";"---";"0";"Não";"0";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"LONGEVITY WELLNESS WORLDWIDE, LDA";"Outra, ";"2019";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9215";"Solar do Souto";"Solar do Souto - TH";;"Classificado em auditoria";"16";"8";"0";"Rua Padre João Magalhães Ferreira, nº103";"4890-548";"Basto (São Clemente)";"Celorico de Basto";"Braga";"962955372";;"solardosouto.th@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"Público";"0";"Sim";"40";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"LUIS DE MAGALHÃES E MENEZES PULIDO DE ALMEIDA";"Turismo de Portugal, I.P., ";"1993";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9212";"Quinta Vale da Roca";"Quinta Vale da Roca";;"Classificado em projeto";"14";"7";"0";"Rua Casal Farripas, 8 Azóia";"2705-001";"Colares";"Sintra";"Lisboa";"966076761";;"info@valedaroca.com";"www.valedaroca.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-12-20->2021-02-20 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"QUINTA VALE DA ROCA";;"2018";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9211";"Quinta do Rapozinho";"Quinta do Rapozinho";;"Classificado em auditoria";"14";"7";"0";"Quinta do Rapozinho, Rua José Machado - S.Nicolau";"4860-143";"Cabeceiras de Basto";"Cabeceiras de Basto";"Braga";"914469094";;"info@quintadorapozinho.com";"www.quintadorapozinho.com";"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Sim";"44";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Maria Virginia do Vale Machado";;"2014";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9205";"Parque de Campismo Quinta da Agueira";;"***";"Classificado em auditoria";"328";"0";"0";"Quinta da Aguieira";"5200-000";"Mogadouro";"Mogadouro";"Bragança";"279340232";;"complexodesportivo@mogadouro.pt";"www.mogadouro.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Terras de Trás-os-Montes ";"2020-10-01->2020-12-31 Ano em causa:2020, ";"Não";"---";"0";"Sim";"10";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"MUNICIPIO DE MOGADOURO";;"2003";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9204";"Toca da Raposa";;"Sem atribuição de *";"Por reconverter";"24";"0";"0";"Quinta do Ameal";"6270-605";"Travancinha";"Seia";"Guarda";"238601547";;"campingtocadaraposa@gmail.com";"www.toca-da-raposa.com";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";"2020-01-15->2020-03-14 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Toca da Raposa, Lda";;"2005";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9203";"Quinta da Roupica";;;"Classificado em auditoria";"12";"6";"0";"Quinta da Roupica";"3610-013";"Dalvares";"Tarouca";"Viseu";"254679241";;"roupica@hotmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Sim";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Agostinho Costa Pereira";"Outra, ";"2001";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9200";"Alformil";;;"Classificado em auditoria";"12";"6";"1";"Rua da Forja nº40 /44";"5300-572";"Bragança";"Bragança";"Bragança";"969016158";;"alformilgostei@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Terras de Trás-os-Montes ";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA AGOSTINHO & RODRIGUES BAPTISTA LDA";"Turismo de Portugal, I.P., ";"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9195(Em análise pelo Turismo de Portugal, I.P.)";"Pedras do Mar Resort & SPA";;"*****";"Classificado em auditoria";"250";"129";"1";"Rua da Terça, 3";"9545-228";"Fenais da Luz";"Ponta Delgada";"Ilha de São Miguel";"296249300";;"reservas@pedrasdomar.com";"www.pedrasdomar.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Sim";"80";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Não";;;"A?ORSONHO - HOTEIS LDA";;"2016";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9193";"Lisboa Central Park";"Lisboa Central Park";"***";"Por reconverter";"52";"24";"1";"Avenida Sidónio Pais, 4";"1050-214";"Lisboa";"Lisboa";"Lisboa";"917135026";;"bruno.cabeleira@lcpark.com";"www.lcpark.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"S A H L SOC ADMINISTRACAO HOTEIS LDA";;;"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9191";"Parque de Campismo Município da Guarda";;"Sem atribuição de *";"Classificado em auditoria";"120";"0";"0";"Avenida do Estádio Municipal";"6300-705";"Guarda";"Guarda";"Guarda";"271221200";;"campismo@mun-guarda.pt";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Município da Guarda";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9189";"Casa de Mogadouro";;;"Por reconverter";"12";"6";"1";"Rua do Cimo do Povo, nº 10 - Mogadouro";"6360-103";"Mesquitela Clb";"Celorico da Beira";"Guarda";"963743973";"271742197";"casamogadouro@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Sim";;;"Casa de Mogadouro";"Turismo de Portugal, I.P., ";"1998";"Não";"Não"
"Empreendimento de Turismo de Habitação";"9188";"Casa Risa House & SPA";"Casa Risa / Antiga Casa Palmeirinha";;"Classificado em auditoria";"20";"10";"2";"Rua da Igreja, 1";"8500-132";"Mexilhoeira Grande";"Portimão";"Faro";"913617703";;"casarisaportugal@gmail.com";"www.casarisa.com";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASARISA - HOUSE & SPA, UNIPESSOAL, LDA";;"2013";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9187";"Quinta da Salada - Turismo Rural";"Quinta da Salada - Turismo Rural";;"Classificado em auditoria";"10";"5";"0";"Quinta da Salada, Rua Pombalina, 4551";"5100-383";"Cambres";"Lamego";"Viseu";"919282035";;"quintadasalada@gmail.com";"www.quintadasalada.com";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";"2020-12-24->2020-12-26 Ano em causa:2020, 2020-12-30->2020-12-31 Ano em causa:2020, 2021-01-01->2021-01-02 Ano em causa:2021, ";"Não";"---";"0";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA LEONOR DE ALMEIDA BRANDAO VASQUES OSORIO";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9185";"Hortas do Rio";"Hortas do Rio";;"Classificado em auditoria";"12";"6";"1";"Estrada da Praia";"8670-230";"Bordeira";"Aljezur";"Faro";"912059452";;"info@hortasdorio.pt";;"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-12-01->2021-02-01 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"GEVENTOS LDA";"Programa Operacional Regional do Algarve, ";"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9184(Em análise pelo Turismo de Portugal, I.P.)";"Hotel Puma";"Hotel Puma";"**";"Por reconverter";"36";"27";"0";"Rua Cruz das Guardeiras 776";"4470-593";"Maia";"Maia";"Porto";"229482128";;"residencialpuma@live.com.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RESIDENCIAL PUMA LDA";;"1995";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"9183";"Quinta da Abelheira";;"*****";"Classificado em auditoria";"30";"15";"0";"Quinta da Abelheira - Caminho da Abelheira, n.º 17 - Fajã de Baixo";"9500-701";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"932560001";"n/a";"margarida.marques@azoreanbliss.com";"www.quintadaabelheira.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;"MIOSÓTIS";"AZOREAN BLISS TURISMO LDA";;"2013";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9182";"Quinta da Torre";"Quinta da Torre";;"Classificado em auditoria";"12";"6";"0";"Quinta da Torre, Santo Antão - Estrada do Bairro";"2510-080";"Óbidos";"Óbidos";"Leiria";"969516027";;"info@quintadatorre-obidos.com";"www.quintadatorre-obidos.com";"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOC AGRO TURISTICA CASAL PINHAO LDA";;"2006";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9178";"Parque de Campismo de Castro Verde";;"***";"Classificado em auditoria";"400";"0";"0";"Rua Timor Lorosae";"7780-207";"Castro Verde";"Castro Verde";"Beja";"286320150";"286320159";"parque.campismo@cm-castroverde.pt";"www.cm-castroverde.pt";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Municipio de Castro Verde";"Programa Operacional Regional do Alentejo, ";"2009";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9175";"Parque de Campismo Barragem do Vilar";;"***";"Classificado em auditoria";"240";"0";"0";"Parque de Campismo da Barragem do Vilar";"3620-521";"Vilar Mbr";"Moimenta da Beira";"Viseu";"918741152";;"c.matos@wildwindows.pt";"www.wildwindows.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"Matos";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9171";"Casa d'Augusta";"Casa d'Augusta";;"Classificado em projeto";"16";"8";"1";"Rua do Lagar,";"5210-345";"Vila Chã de Braciosa";"Miranda do Douro";"Bragança";"273402673";;"gloriafidalgo@gmail.com";"www.casadaugusta.com";"Turismo do Porto e Norte de Portugal";"Norte";"Terras de Trás-os-Montes ";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Antonio Manuel Antas de Barros Meirinhos";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9170(Em análise pelo Turismo de Portugal, I.P.)";"Quinta dos Peixes Falantes";"Quinta dos Peixes Falantes";;"Classificado em auditoria";"8";"4";"0";"Rua de Santana 40";"9600-166";"Rabo de Peixe";"Ribeira Grande";"Ilha de São Miguel";"968521163";;"info@peixesfalantes.pt";"www.peixesfalantes.pt";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quinta dos Peixes Falantes, Lda";"Outra, ";"2019";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9169";"Parque de Campismo de Escaroupim";;"Sem atribuição de *";"Por reconverter";"250";"0";"0";"Mata Florestal Escaroupim";"2120-018";"Salvaterra de Magos";"Salvaterra de Magos";"Santarém";"263 595 484";"218 126 918";"escaroupim@fcmportugal.com";"www.fcmportugal.com/PListing.aspx";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"FEDERA??O DE CAMPISMO E MONTANHISMO DE PORTUGAL";;"1976";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9168(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo de Santo André";;"Sem atribuição de *";"Por reconverter";"900";"0";"0";"Parque de Campismo Lagoa de Santo André SANTO ANDRÉ";"7500-024";"Vila Nova de Santo André";"Santiago do Cacém";"Setúbal";"269 708 550";"218 126 918";"s.andre@fcmportugal.com";"www.fcmportugal.com/PListing.aspx";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Litoral";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"FEDERA??O DE CAMPISMO E MONTANHISMO DE PORTUGAL";;"1979";"Não";"Não"
"Empreendimento de Turismo de Habitação";"9167";"Quinta do Carmo";"Quinta do Carmo";;"Classificado em auditoria";"4";"2";"0";"Rua da Igreja, 12";"9500-554";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"962820497";;"quintadocarmoazores@gmail.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"2020-11-01->2021-03-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quinta do Carmo Exploração e Animação Turística,";"Outra, ";"2011";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9166(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo de Santa Cruz";;"Sem atribuição de *";"Por reconverter";"1025";"0";"0";"Av. Joaquim Agostinho - Santa Cruz";"2560-495";"Silveira";"Torres Vedras";"Lisboa";"261322107";"261314161";"sede@campismosantacruz.pt";;"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"NOGUEIRA";;"1968";"Não";"Não"
"Apartamento Turístico";"9165";"Mosteiros Place";"Mosteiros Place";"****";"Classificado em auditoria";"12";"6";"1";"Caminho do Concelho,18";"9555-131";"Mosteiros Pdl";"Ponta Delgada";"Ilha de São Miguel";"919522902";;"patriciadamiao@pmaturismo.pt";"www.mosteirosplace.pt";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Sim";"22";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"PMA SOCIEDADE UNIPESSOAL LDA";"Turismo de Portugal, I.P., Outra, ";"2018";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9162";"Stay Hotel Porto Aeroporto";"Stay Hotels";"***";"Classificado em projeto";"200";"102";"2";"Rua Vasconcelos Costa, 466";"4470-640";"Maia";"Maia";"Porto";"220046590";;"direcao.portoaeroporto@stayhotels.pt";"www.stayhotels.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";"2020-09-25->2020-12-31 Ano em causa:2020, ";"Não";"---";"1";"Sim";"150";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JUST STAY HOTELS S A";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9160";"Quinta da Mó";;;"Classificado em auditoria";"12";"6";"0";"Rua da Agua Quente 66";"9675-040";"Furnas";"Povoação";"Ilha de São Miguel";"917800281";;"reservas@quintadamo.com";"www.quintadamo.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Sim";"Não";"Não";"Não";"Não";"Não";"Não";"Cinco Trevos";"Miosótis, Green Key";"Maria Luísa Carvalho Valério";"Outra, ";"2009";"Sim";"Não"
"Apartamento Turístico";"9159(Em análise pelo Turismo de Portugal, I.P.)";"Alma do Pico";"Alma do Pico - Nature Residence";"***";"Classificado em auditoria";"28";"14";"1";"Rua dos Biscoitos 34";"9950-333";"Madalena (Pico)";"Madalena";"Ilha do Pico";"914231436";;"info@almadopico.com";"www.almadopico.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Sim";;"Green Lodging – Miosotis *****";"Alma do Pico Lda";"Outra, ";"2015";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9158";"Quinta a Cabra Verde";;;"Classificado em auditoria";"10";"5";"0";"Estrada Nacional 372-1";"7040-602";"Vimieiro Arl";"Arraiolos";"Évora";"939761497";;"info@cabraverdeportugal.com";"www.cabraverdeportugal.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"EVA ANNELIJN EISSES";;"2019";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9157";"Quinta do Pântano";;;"Classificado em auditoria";"14";"4";"0";"Estrada da fonte de Santo António, n61";"9200-152";"Sto António da Serra Mch";"Machico";"Ilha da Madeira";"964006907";;"Quintadopantano@hotmail.com";;"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NENUFARMARAVILHA - LDA";;"1998";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9156(Em análise pelo Turismo de Portugal, I.P.)";"Adegas do Pico";"Adegas do Pico";;"Classificado em projeto";"45";"28";"0";"Rua do Ramal, 14";"9940-062";"Prainha";"São Roque do Pico";"Ilha do Pico";"933256277";;"info@adegasdopico.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"INN NATURE LDA";"Programa de Desenvolvimento Rural (PRODER), Outra, ";;"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9153";" Palácio São Marçal - Palácio Príncipe Real";"PRPALACE, LDA";;"Classificado em auditoria";"52";"26";"1";"Rua de São Marçal, 77-79";"1200-419";"Lisboa";"Lisboa";"Lisboa";"913301421";;"welcome@palacioprincipereal.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"PRPalace Lda";;"2020";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9150";"Parque de Campismo Municipal";"Municipal";"***";"Por reconverter";"3000";"0";"0";"Rotunda Eng. Coelho Jordão, Tavarede";"3080-856";"Figueira da Foz";"Figueira da Foz";"Coimbra";"233209051/052";;"parque.campismo@cm-figfoz.pt";"https://www.cm-figfoz.pt/";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Sim";;;"Câmara Municipal da Figueira da Foz";;"1963";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9148(Em análise pelo Turismo de Portugal, I.P.)";"Parque Campismo da Penha";;"***";"Por reconverter";"1666";"0";"0";"Rua Monsenhor Araujo Costa";"4800-000";"Guimarães";"Guimarães";"Braga";"253515912";;"campismo@turipenha.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;"Green Key";"Turipenha-Cooperativa de Turismo de Interesse Púb";"Outra, ";"2010";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9147";"Parque de Campismo Rural de Vila Fria - Felgueiras";;"Sem atribuição de *";"Por reconverter";"90";"0";"0";"Rua da Raposeira";"4610-861";"Vila Fria Flg";"Felgueiras";"Porto";"255346403";;"pcampfelgueiras@mail.telepac.pt";"www.cm-felgueiras.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";"2020-12-24->2020-12-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"MUNICIPIO DE FELGUEIRAS";"Outra, ";"1999";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9145(Em análise pelo Turismo de Portugal, I.P.)";"Sensi Nature & Spa";"Sensi Nature & Spa";;"Classificado em auditoria";"42";"20";"1";"Rua do Monte nº 1";"9555-080";"Ginetes";"Ponta Delgada";"Ilha de São Miguel";"91211-0470";;"casa.deitada@gmail.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Sim";"Não";"Não";"Não";"Não";;;"Casa Deitada - Turismo Açores Lda";"Outra, ";;"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9143";"CLUBE PORTUGUÊS DE CARAVANISMO";;"***";"Classificado em projeto";"418";"0";"0";"Avenida dos Pinheiros";"2970-436";"Sesimbra";"Sesimbra";"Setúbal";"212684872";;"cpc.recepcao@gmail.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"1";"Sim";"100";"Não";"Não";"Não";"Sim";"Não";"Não";"Sim";;;"CLUBE PORTUGUES CARAVANISMO";;"1975";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9139";"Quinta Velha das Amoreiras";"Quinta Velha das Amoreiras";;"Classificado em auditoria";"6";"3";"0";"Rua das Amoreiras 20B";"9680-502";"Ribeira das Tainhas";"Vila Franca do Campo";"Ilha de São Miguel";"966065028";;"reservas@quintavelhadasamoreiras.com";"www.quintavelhadasamoreiras.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA BEATRIZ DE MEDEIROS DE MENDON?A DIAS SERPA";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9136";"Casa da Padeira de Afife";"Casa da Padeira";;"Classificado em auditoria";"12";"6";"1";"Caminho dos Cortiços, 364";"4900-012";"Afife";"Viana do Castelo";"Viana do Castelo";"968870301";;"info@distinctiveportugal.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"DISTINCTIVE PORTUGAL - AGENCIA DE VIAGENS E TURIS";;"2020";"Não";"Não"
